date,temperature_air_max_200,temperature_air_mean_200,temperature_air_min_200
2023-10-02,24.8,19.2,13.9
2023-10-03,22.1,16.9,12.3
2023-10-04,17.1,14.0,12.0
2023-10-05,16.7,14.2,12.1
2023-10-06,19.4,15.5,10.8
2023-10-07,20.3,17.2,11.9
2023-10-08,16.0,12.7,9.7
2023-10-09,16.6,14.4,11.8
2023-10-10,21.5,17.1,14.0
2023-10-11,23.1,19.0,15.3
2023-10-12,19.2,13.9,11.8
2023-10-13,23.7,18.9,14.8
2023-10-14,19.4,12.2,7.5
2023-10-15,10.6,7.8,5.1
2023-10-16,11.2,7.4,4.4
2023-10-17,9.3,5.2,2.2
2023-10-18,10.3,6.0,0.6
2023-10-19,9.2,7.5,6.5
2023-10-20,8.6,7.2,6.4
2023-10-21,17.3,11.8,7.1
2023-10-22,15.3,11.9,8.2
2023-10-23,15.4,11.6,8.4
2023-10-24,14.0,11.8,8.4
2023-10-25,13.4,10.3,7.0
2023-10-26,10.8,9.8,6.1
2023-10-27,9.9,8.3,5.1
2023-10-28,13.4,10.3,8.3
2023-10-29,16.2,13.4,10.6
2023-10-30,15.9,12.7,11.2
2023-10-31,12.9,10.8,8.7
2023-11-01,14.8,11.8,8.8
2023-11-02,13.9,11.6,7.6
2023-11-03,12.2,9.9,7.4
2023-11-04,10.9,8.2,4.7
2023-11-05,13.3,10.3,8.6
2023-11-06,12.5,10.6,8.9
2023-11-07,12.2,9.7,7.5
2023-11-08,11.7,9.5,8.5
2023-11-09,10.2,9.1,7.7
2023-11-10,10.4,8.2,6.5
2023-11-11,7.6,6.6,5.6
2023-11-12,8.9,6.8,3.6
2023-11-13,12.6,6.7,1.5
2023-11-14,12.6,11.2,8.9
2023-11-15,9.9,8.7,7.1
2023-11-16,9.0,6.4,1.3
2023-11-17,7.5,4.8,1.9
2023-11-18,7.1,5.1,1.9
2023-11-19,12.9,10.4,6.1
2023-11-20,11.1,9.8,7.1
2023-11-21,7.5,6.0,1.0
2023-11-22,4.6,1.3,-1.1
2023-11-23,11.2,8.6,4.6
2023-11-24,7.0,4.3,0.6
2023-11-25,5.0,1.9,-0.7
2023-11-26,4.2,1.8,-1.9
2023-11-27,4.2,2.6,-0.1
2023-11-28,-0.1,-1.1,-3.0
2023-11-29,1.4,-0.3,-1.5
2023-11-30,-0.3,-1.8,-5.1
2023-12-01,-1.3,-2.2,-2.8
2023-12-02,-1.3,-2.2,-3.0
2023-12-03,1.1,-1.3,-6.8
2023-12-04,1.0,-0.6,-2.0
2023-12-05,2.4,0.3,-1.2
2023-12-06,2.5,1.0,0.3
2023-12-07,3.5,1.5,-1.3
2023-12-08,3.4,0.5,-1.7
2023-12-09,6.6,4.6,1.3
2023-12-10,10.1,7.7,5.7
2023-12-11,10.4,8.6,6.3
2023-12-12,8.1,6.1,3.4
2023-12-13,8.9,6.7,4.0
2023-12-14,4.0,3.3,2.2
2023-12-15,7.6,5.7,2.7
2023-12-16,9.1,7.7,6.1
2023-12-17,9.4,8.5,6.6
2023-12-18,7.3,6.2,5.2
2023-12-19,7.3,6.6,6.0
2023-12-20,7.7,6.0,4.3
2023-12-21,10.6,7.5,4.3
2023-12-22,6.3,4.6,2.0
2023-12-23,8.7,4.5,1.9
2023-12-24,13.0,10.2,8.2
2023-12-25,12.5,10.7,9.2
2023-12-26,11.3,8.3,3.7
2023-12-27,8.6,4.4,0.3
2023-12-28,11.2,9.8,8.2
2023-12-29,10.7,9.6,7.7
2023-12-30,8.4,7.2,5.0
2023-12-31,10.6,7.5,3.9
2024-01-01,7.8,6.5,2.8
2024-01-02,11.8,6.8,2.4
2024-01-03,11.7,9.9,8.0
2024-01-04,8.0,4.6,1.9
2024-01-05,6.0,3.7,2.1
2024-01-06,4.9,2.1,-1.0
2024-01-07,-0.8,-1.8,-2.8
2024-01-08,-2.1,-4.3,-7.0
2024-01-09,-4.5,-7.1,-8.5
2024-01-10,-3.4,-7.0,-9.0
2024-01-11,-0.2,-4.7,-9.4
2024-01-12,1.3,0.5,-0.2
2024-01-13,2.8,2.1,1.3
2024-01-14,3.1,2.1,0.7
2024-01-15,2.6,1.2,0.5
2024-01-16,1.7,0.3,-2.2
2024-01-17,-0.5,-1.8,-3.4
2024-01-18,2.5,-0.8,-2.8
2024-01-19,1.8,-0.1,-1.8
2024-01-20,2.0,0.1,-1.8
2024-01-21,5.3,1.5,-1.8
2024-01-22,10.2,7.5,5.3
2024-01-23,8.7,6.4,4.9
2024-01-24,12.9,10.0,8.0
2024-01-25,8.3,6.3,3.7
2024-01-26,10.8,7.1,4.8
2024-01-27,7.7,4.0,0.0
2024-01-28,8.8,3.1,-1.6
2024-01-29,10.5,6.0,2.5
2024-01-30,10.6,7.0,3.0
2024-01-31,6.9,5.4,4.3
2024-02-01,7.7,5.9,3.6
2024-02-02,9.3,6.5,4.2
2024-02-03,11.2,9.8,8.9
2024-02-04,10.9,9.0,7.7
2024-02-05,10.7,10.0,7.8
2024-02-06,11.0,9.5,7.5
2024-02-07,10.5,3.9,-0.9
2024-02-08,4.5,1.2,-0.7
2024-02-09,13.2,6.5,1.0
2024-02-10,13.8,9.8,6.4
2024-02-11,9.5,8.6,7.3
2024-02-12,9.4,7.1,4.5
2024-02-13,8.3,5.5,3.1
2024-02-14,10.9,8.7,5.1
2024-02-15,13.8,11.8,9.4
2024-02-16,16.0,12.1,9.1
2024-02-17,11.4,8.6,3.3
2024-02-18,11.4,7.8,3.6
2024-02-19,10.3,8.3,6.3
2024-02-20,9.7,8.1,6.5
2024-02-21,10.9,9.0,8.0
2024-02-22,12.9,10.1,7.6
2024-02-23,10.6,7.3,4.3
2024-02-24,9.9,5.3,0.7
2024-02-25,9.1,4.8,0.7
2024-02-26,8.2,4.4,0.3
2024-02-27,5.4,3.8,1.6
2024-02-28,7.0,2.9,-0.8
2024-02-29,11.9,5.4,0.1
2024-03-01,12.6,7.3,1.0
2024-03-02,14.4,9.4,5.0
2024-03-03,13.4,7.2,1.5
2024-03-04,9.5,6.2,1.6
2024-03-05,7.5,5.7,3.6
2024-03-06,9.4,4.5,0.2
2024-03-07,7.9,3.1,-1.1
2024-03-08,8.2,3.2,-1.8
2024-03-09,9.1,4.3,0.7
2024-03-10,11.2,5.8,0.0
2024-03-11,12.1,8.3,4.5
2024-03-12,9.9,6.7,1.7
2024-03-13,11.7,7.7,1.0
2024-03-14,17.1,12.0,8.0
2024-03-15,17.4,12.3,7.0
2024-03-16,11.2,8.8,4.2
2024-03-17,11.4,6.1,0.0
2024-03-18,10.5,6.8,2.3
2024-03-19,15.0,9.0,2.9
2024-03-20,18.2,12.4,7.1
2024-03-21,11.7,9.7,6.7
2024-03-22,12.9,10.0,7.2
2024-03-23,9.5,5.7,2.5
